知识编号,教学层次,知识领域,MOOC教学单元,项目名称,视频/知识点名称,视频时长,知识类型,难度标签
70,高级程序设计,Java高级编程,第十二单元 Java Web基础,项目9：银行账户管理（Web应用版）,12.2 环境搭建与配置,9'13,,
71,高级程序设计,Java高级编程,第十二单元 Java Web基础,项目9：银行账户管理（Web应用版）,12.3 JSP/Servlet简介,11'13,,
72,高级程序设计,Java高级编程,第十二单元 Java Web基础,项目9：银行账户管理（Web应用版）,12.4 实验十：JSP+Servlet+jQuery+Ajax+JSON实现访问学生基本信息小项目（列表功能）,25'43,,
73,高级程序设计,Java高级编程,第十二单元 Java Web基础,项目9：银行账户管理（Web应用版）,12.4 实验十：JSP+Servlet+jQuery+Ajax+JSON实现访问学生基本信息小项目（新增功能）,7'49,,
74,高级程序设计,Java高级编程,第十二单元 Java Web基础,项目9：银行账户管理（Web应用版）,12.4 实验十：JSP+Servlet+jQuery+Ajax+JSON实现访问学生基本信息小项目（更新、删除功能）,10'52,,
74,高级程序设计,Java高级编程,第十二单元 Java Web基础,项目10：银行账户管理（企业级架构版）,,,,
76,基础语法,Java基础语法,阶段一  开发环境构建, 控制台交互程序原型（猜数字基 础版）,Java 简要介绍,,概念性知识,
77,基础语法,Java基础语法,阶段一  开发环境构建, 控制台交互程序原型（猜数字基 础版）,JDK 与 Java21 的下载与安装,,程序性知识,
78,基础语法,Java基础语法,阶段一  开发环境构建, 控制台交互程序原型（猜数字基 础版）,第一个 Java 应用程序,,程序性知识,
79,基础语法,Java基础语法,阶段一  开发环境构建, 控制台交互程序原型（猜数字基 础版）,Java 程序结构,,概念性知识,思政点、重点、难点
80,基础语法,Java基础语法,阶段二  菜单驱动的 “ 任务选择系统 ”, 控制台交互程序原型（猜数字基 础版）,标识符、关键字与数据类型,,概念性知识,
81,基础语法,Java基础语法,阶段二  菜单驱动的 “ 任务选择系统 ”, 控制台交互程序原型（猜数字基 础版）,基本数据类型与包装类,,概念性知识,
82,基础语法,Java基础语法,阶段二  菜单驱动的 “ 任务选择系统 ”, 控制台交互程序原型（猜数字基 础版）,数据输入与输出,,概念性知识,重点
83,基础语法,Java基础语法,阶段二  菜单驱动的 “ 任务选择系统 ”, 控制台交互程序原型（猜数字基 础版）,运算符、表达式、语句,,概念性知识,
84,基础语法,Java基础语法,阶段二  菜单驱动的 “ 任务选择系统 ”, 控制台交互程序原型（猜数字基 础版）,运算符与流程控制,,概念性知识,思政点、重点
85,基础语法,Java基础语法,阶段三  数据处理, 控制台交互程序原型（猜数字基 础版）,数组与枚举,,程序性知识,思政点、重点
86,基础语法,Java基础语法,阶段四  功能模块化, 控制台交互程序原型（猜数字基 础版）,竞赛专题 -Java 语⾔基础,,程序性知识,
87,基础语法,Java基础语法,阶段四  功能模块化, 控制台交互程序原型（猜数字基 础版）,BitMap 算法,,程序性知识,
88,面向对象,Java面向对象,阶段二  基础账户模型（类与对象）, 银行账户管理（基础版）,类与对象,,事实性知识,
89,面向对象,Java面向对象,阶段二  基础账户模型（类与对象）, 银行账户管理（基础版）,重载、构造⽅法与 this 关键字,,概念性知识,重点
90,面向对象,Java面向对象,阶段二  基础账户模型（类与对象）, 银行账户管理（基础版）,访问控制符、参数传递、可变参数,,程序性知识,重点
91,面向对象,Java面向对象,阶段四：银行与客户管理, 银行账户管理（基础版）,Static 关键字与类加载机制,,概念性知识,重点
92,面向对象,Java面向对象,阶段一：继承关系设计与类型建模, 银行账户管理（继承与多态版）,类结构设计,,事实性知识,
93,面向对象,Java面向对象,阶段一：继承关系设计与类型建模, 银行账户管理（继承与多态版）,基础账户类（ Account ）实体需求,,事实性知识,
94,面向对象,Java面向对象,阶段二：借记卡账户（ SavingsAccount ）扩展, 银行账户管理（继承与多态版）,继承,,概念性知识,思政点、重点
95,面向对象,Java面向对象,阶段四：多态访问与分类操作, 银行账户管理（继承与多态版）,转型对象,,概念性知识,难点
96,面向对象,Java面向对象,阶段五：系统测试与验证, 银行账户管理（继承与多态版）,银行账户管理 — 继承与转型对象,,概念性知识,
97,面向对象,Java面向对象,阶段二：抽象动物建模与扩展, 宠物商店管理系统（抽象类与行 为契约版）,抽象类与接⼝,,概念性知识,思政点、重点、难点
98,面向对象,Java面向对象,阶段四：发声行为契约及其实现, 宠物商店管理系统（抽象类与行 为契约版）,Java8 和 Java9 接⼝新特性,,概念性知识,难点
99,面向对象,Java面向对象,阶段五：测试与验证, 宠物商店管理系统（抽象类与行 为契约版）,内部类、反射与⾯向对象设计原则,,概念性知识,
100,高级程序设计,Java高级编程,阶段一：项目三层结构设计, 个人⽇程管理系统（工具综合 应用版）,字符串类,,程序性知识,重点
101,高级程序设计,Java高级编程,阶段一：项目三层结构设计, 个人⽇程管理系统（工具综合 应用版）,Java8 之前时间操作,,程序性知识,
102,高级程序设计,Java高级编程,阶段一：项目三层结构设计, 个人⽇程管理系统（工具综合 应用版）,Java8 时间操作 API,,程序性知识,重点
103,高级程序设计,Java高级编程,阶段一：项目三层结构设计, 个人⽇程管理系统（工具综合 应用版）,Java8 时间操作练习,,程序性知识,
104,高级程序设计,Java高级编程,阶段一：项目三层结构设计, 个人⽇程管理系统（工具综合 应用版）,常用工具类,,概念性知识,
105,高级程序设计,Java高级编程,阶段一：项目三层结构设计, 个人⽇程管理系统（工具综合 应用版）,工具类练习,,程序性知识,重点
106,高级程序设计,Java高级编程,阶段三：字符串处理与信息检索（业务逻辑层）, 个人⽇程管理系统（工具综合 应用版）,数组与集合,,概念性知识,
107,高级程序设计,Java高级编程,阶段三：字符串处理与信息检索（业务逻辑层）, 个人⽇程管理系统（工具综合 应用版）,集合框架与 List 接⼝,,概念性知识,重点
108,高级程序设计,Java高级编程,阶段三：字符串处理与信息检索（业务逻辑层）, 个人⽇程管理系统（工具综合 应用版）,泛型与 Set/Map 接⼝,,概念性知识,重点
109,高级程序设计,Java高级编程,阶段三：字符串处理与信息检索（业务逻辑层）, 个人⽇程管理系统（工具综合 应用版）,Java8 新特性（练习）,,程序性知识,
110,高级程序设计,Java高级编程,阶段三：字符串处理与信息检索（业务逻辑层）, 个人⽇程管理系统（工具综合 应用版）,集合框架（练习）,,程序性知识,
111,高级程序设计,Java高级编程,阶段三：字符串处理与信息检索（业务逻辑层）, 个人⽇程管理系统（工具综合 应用版）,Java 工具类 4- 词频统计（字符串与集合框架）,,程序性知识,
112,高级程序设计,Java高级编程,阶段一：透⽀异常建模, 银行账户管理（进阶版）,异常类及其处理机制,,概念性知识,思政点、重点
113,高级程序设计,Java高级编程,阶段一：透⽀异常建模, 银行账户管理（进阶版）,⾃定义异常类与异常新特性,,概念性知识,思政点
114,高级程序设计,Java高级编程,阶段二：账户操作修改, 银行账户管理（进阶版）,银行账户管理 — 异常处理及泛型容器,,程序性知识,
115,高级程序设计,Java高级编程,阶段一：并发账户模型设计, 银行账户管理（高级版）,线程、创建线程及常用⽅法,,概念性知识,重点
116,高级程序设计,Java高级编程,阶段一：并发账户模型设计, 银行账户管理（高级版）,线程同步,,概念性知识,难点
117,高级程序设计,Java高级编程,阶段一：并发账户模型设计, 银行账户管理（高级版）,线程通信,,概念性知识,难点
118,高级程序设计,Java高级编程,阶段二：账户操作同步控制 / 通信与协作机制, 银行账户管理（高级版）,银行账户管理 — 多线程技术,,程序性知识,思政点
119,高级程序设计,Java高级编程,阶段三：客户信息⽂件加载 / 报表⽣成, 银行账户管理（高级版）,File 类与字节流,,概念性知识,重点
120,高级程序设计,Java高级编程,阶段三：客户信息⽂件加载 / 报表⽣成, 银行账户管理（高级版）,字符流与对象序列化,,概念性知识,重点
121,高级程序设计,Java高级编程,阶段三：客户信息⽂件加载 / 报表⽣成, 银行账户管理（高级版）,银行账户管理 — 输入输出操作,,程序性知识,
122,高级程序设计,Java高级编程,阶段四： OCR 识别, 银行账户管理（高级版）,OCR 图⽚识别,,程序性知识,
123,高级程序设计,Java高级编程,阶段一： JDBC, 银行账户管理（数据持久化版）,JDBC 概述,,概念性知识,
124,高级程序设计,Java高级编程,阶段一： JDBC, 银行账户管理（数据持久化版）,访问数据库及预处理语句,,概念性知识,重点、难点
125,高级程序设计,Java高级编程,阶段一： JDBC, 银行账户管理（数据持久化版）,事务、元数据及调用存储过程,,概念性知识,
126,高级程序设计,Java高级编程,阶段一：系统架构与通信模型设计, 猜数字游戏（多人联机版）,⽹络基础,,概念性知识,
127,高级程序设计,Java高级编程,阶段一：系统架构与通信模型设计, 猜数字游戏（多人联机版）,Socket ⽹络编程,,程序性知识,重点、难点
128,高级程序设计,Java高级编程,阶段一：系统架构与通信模型设计, 猜数字游戏（多人联机版）,用户数据报与⼴播数据报,,程序性知识,
129,高级程序设计,Java高级编程,阶段一： Web 项目环境搭建, 银行账户管理（ Web 应用版）,Java Web 基础,,概念性知识,
130,高级程序设计,Java高级编程,阶段一： Web 项目环境搭建, 银行账户管理（ Web 应用版）,环境搭建与配置,,程序性知识,重点
131,高级程序设计,Java高级编程,阶段一： Web 项目环境搭建, 银行账户管理（ Web 应用版）,JSP/Servlet 简介,,概念性知识,难点
132,高级程序设计,Java高级编程,阶段二：账户信息查询, 银行账户管理（ Web 应用版）,Web 项目：访问学⽣基本信息（列表功能）,,程序性知识,思政点
133,高级程序设计,Java高级编程,阶段三：客户注册与账户创建, 银行账户管理（ Web 应用版）,Web 项目：访问学⽣基本信息（新增功能）,,程序性知识,思政点
134,高级程序设计,Java高级编程,阶段四：账户存取款 Web 操作, 银行账户管理（ Web 应用版）,Web 项目：访问学⽣基本信息（更新删除功能）,,程序性知识,思政点
